;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
;;4). Mengevaluasi dan mengoptimalkan aplikasi web yang telah dibuat.;;;;Membuat elemen interaktif dengan JavaScript;Merancang proyek halaman web statis dan dinamis;;;;;;;;;
44;PENGOLAHAN CITRA DIGITAL ;1). Mahasiswa mampu menjelaskan tentang konsep dan teknik dasar pengolahan citra;Mahasiswa memahami konsep dan tehnik  dasar pengolahan citra, mengenal tools dalam pengolahan citra digital dan mampu mengimplementasikan algoritma pengolahan citra dalam software dan aplikasi;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelasan tentang konsep dasar citra digital. ;;Mahasiswa mampu memahami dan menjelaskan konsep dasar citra digital dan cara pengolahan citra digital;Mahasiswa mampu memahami dan menjelaskan konsep dasar citra digital dan cara pengolahan citra digital;;;;;;;;;;;
;;3). Mahasiswa mampu  menjelasan tentang representasi citra;;;Mahasiswa mampu memahami dan menjelaskan konsep dasar citra digital dan cara pengolahan citra digital;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan tentang konvolusi dan transformasi fourier.;;;;Mahasiswa mampu memahami dan menjelaskan tentang konversi citra dari analog ke digital, penyajian citra digital dengan resolusi dan tingkat keabuannya.;;;;;;;;;;
;;5). Mahasiswa mampu menjelaskan tentang peningkatan mutu citra;;;;;Mahasiswa mampu memahami dan menjelaskan tentang teori dasar konvolusi dan transformasi fourier dalam pengolahan citra.;;;;;;;;;
;;6). Mahasiswa mampu menjelaskan penjelasan tentang dasar-dasar teknik segmentasi;;;;;;Mahasiswa mampu memahami dan menjelaskan tentang konsep histogram, filtering, contrast switching dan teknik transformasi untuk peningkatan mutu citra.;;;;;;;;
;;7). Mahasiswa mampu mengimplementasikan analisa citra menggunakan teknik deteksi sisi;;;;;;;Mahasiswa mampu memahami dan menjelaskan tentang dasar – dasar dan teknik segmentasi citra;;;;;;;
;;8). Mahasiswa mampu mengimplementasikan teknik pengkodean citra;;;;;;;;Mahasiswa mampu memahami dan menjelaskan analisa citra meggunakan teknik deteksi sisi untuk meningkatkan penampakan garis pada citra.;Mahasiswa mampu memahami teknik kompresi citra untuk mengatasi pengulangan data dan sistem kompresi citra.;;;;;
;;9). Mahasiswa mampu menjelaskan tentang konsep pewarnaan citra. ;;;;;;;;;;Mahasiswa mampu memahami konsep pewarnaan citra dan pengolahannya;;;;
45;REKAYASA KOMPUTASIONAL;1). Bertaqwa kepada Tuhan Yang Maha Esa dan mampu menunjukkan sikap religius;Mahasiswa mampu memahami metode yang tepat untuk menyelesaikan sebuah permasalahan.;Mahasiswa mampu mengerti tentang kegunaan metode numerik, materi, dan aplikasinya;;;;;;;;;;;;
;;2). Menjunjung tinggi nilai kemanusiaan dalam menjalankan tugas berdasarkan agama,moral dan etika moral;Mahasiswa mampu memahami metode yang tepat untuk menyelesaikan sebuah permasalahan.;Mahasiswa mampu mengerti tentang kegunaan metode numerik, materi, dan aplikasinya;;;Mahasiswa mampu memahami pengertian, bentuk, dan perhitungan Matriks;;;;;;;;;
;;3). Mampu menerapkan pemikiran logis, sistematis, dan inovatif dalam konteks pengembangan atau implementasi ilmu pengetahuan dan tenologi yang memperhatikan dan menerapkan nilai humantora yang sesuai dengan bidang keahliannya;Mahasiswa mampu memahami metode yang tepat untuk menyelesaikan sebuah permasalahan.;;Mahasiswa mampu mengerti tentang metode penyelesaian turunan pertama, kontinyu dan fungsi diskrit;;;;;;;;;;;
;;4). Mampu mengambil keputusan secara tepat dalam konteks penyelesaian masalah di bidang keahliannya, berdasarkan hasil analisis informasi dan data;Mahasiswa mampu memahami metode yang tepat untuk menyelesaikan sebuah permasalahan.;;;Mahasiswa mampu mengenal persamaan NonLinier dan teknik penyelesaian persamaan linier;;Mahasiswa mampu menjelaskan pengertian interpolasi;Mahasiswa mampu menjelaskan tentang konsep regresi dan memahami metode-metode regresi;Mahasiswa dapat menjelaskan tentang pengertian Integral Kalkulus, aturan Trapesium, Aturan Simpson 1/3, integrasi Romberg, Aturan Gauss-Quadrature dan Integrasi Data Diskrit;Mahasiswa dapat mendefinisikan dasar PDB dan penggunaan metode Euler;;;;;
;;5). Mampu mengimplementasikan prinsip keberlanjutan (sustainability) dalam mengembangkan pengetahuan;Mahasiswa mampu memahami metode yang tepat untuk menyelesaikan sebuah permasalahan.;;;;;;;Mahasiswa dapat menjelaskan tentang pengertian Integral Kalkulus, aturan Trapesium, Aturan Simpson 1/3, integrasi Romberg, Aturan Gauss-Quadrature dan Integrasi Data Diskrit;;;;;;
46;RISET OPERASIONAL;1). Mahasiswa mampu menjelaskan tentang Riset Operasional dan Jenis-Jenis Modulnya;Mahasiswa mampu memahami yang dimaksud Riset Operasional beserta modul-modul pembantu;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelasan tentang Modul Linear Progamming dan metode penyelesaiannya yakni Metode Grafik dan Simpleks;;Mahasiswa mampu memahami dan menjelaskan yang dimaksud dengan modul linear Programming;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelasan tentang Modul Linear Progamming dan metode penyelesaiannya yakni Metode Penyelesaian Awal meliputi NWCR, Least Cost, dan VAM dan Metode Penyelesaian Akhir yakni Stepping Stone dan MODI;;;Mahasiswa mampu memahami dan menyelesaikan permasalahan kasus Optimasi dengan menggunakan metode grafik untuk kasus maximum;Mahasiswa mampu memahami dan menyelesaikan permasalahan kasus Optimasi dengan menggunakan metode grafik untuk kasus minimum;Mahasiswa mampu memahami dan menyelesaikan permasalahan kasus Optimasi dengan menggunakan metode simpleks untuk kasus maximum;Mahasiswa mampu memahami dan menyelesaikan permasalahan kasus Optimasi dengan menggunakan metode simpleks untuk kasus Minimum;Mahasiswa mampu menyelesaikan kasus operasional linear programming dengan metode grafik dan simpleks kasus maksimum dan minimum ;Mahasiswa mampu memberikan penjelasan tentang definisi Modul Transportasi Penyelesaian Awal;Mahasiswa mampu mengimplementasikan metode NWCR pada contoh kasus Transportasi;Mahasiswa mampu mengimplementasikan metode Least Cost pada contoh kasus Transportasi;Mahasiswa mampu menjelaskan Metode Transportasi penyelesaian Optimal  dan Jenis-jenisnya;Mahasiswa mampu mengimplementasikan Metode Stepping Stone pada contoh kasus Transportasi ;Mahasiswa mampu mengimplementasikan Metode MODI  pada contoh kasus Transportasi ;
;;4). Mahasiswa mampu menjelaskan penjelasan tentang Modul Proyek Manajemen;;;;;;;;;;;;;;Mahasiswa mampu menjelaskan pengertian Modul Manajemen Proyek dan Langkah Penyelesaiannya
47;SISTEM BASIS DATA MODERN;1). Mahasiswa mampu menjelaskan pengertian Modul Manajemen Proyek dan Langkah Penyelesaiannya;Menjelaskan konsep dasar NoSQL, In-Memory DB, dan arsitektur basis data modern;;;;;;;;;;;;;
;;2). Memahami teknologi basis data modern seperti In-Memory DB, Pub-Sub, Kafka, dan Elasticsearch.;;Memahami fungsi Pub-Sub dan implementasi Kafka dalam pengelolaan data.;;;;;;;;;;;;
;;3). Mampu merancang dan mengimplementasikan sistem basis data modern untuk kebutuhan aplikas;;;Merancang dan mengimplementasikan basis data menggunakan teknologi seperti Redis, Cassandra, MongoDB, dan Elasticsearch;;;;;;;;;;;
;;4). Mengevaluasi performa dan efisiensi sistem basis data modern untuk pengelolaan informasi.;;;;Menganalisis studi kasus penggunaan basis data modern untuk aplikasi real-time;Mengevaluasi performa dan efisiensi sistem basis data modern;;;;;;;;;
48;SISTEM INFORMASI MANAJEMEN;1). Memahami dasar-dasar sistem informasi manajemen dan komponennya.;Menjelaskan konsep dasar sistem informasi manajemen;;;;;;;;;;;;;
;;2). Mampu menganalisis kebutuhan sistem informasi dalam organisasi.;;Memahami komponen utama dalam sistem informasi manajemen;;;;;;;;;;;;
;;3). Menggunakan sistem informasi untuk mendukung pengambilan keputusan. ;;;Menganalisis kebutuhan informasi dalam organisasi.;;;;;;;;;;;
;;4). Mengevaluasi dampak penerapan sistem informasi pada organisasi.;;;;Mengevaluasi implementasi sistem informasi pada studi kasus.;;;;;;;;;;
49;SISTEM TERDISTRIBUSI;1). Menjelaskan konsep dasar dan karakteristik sistem terdistribusi;Menjelaskan definisi sistem terdistribusi.;;;;;;;;;;;;;
;;2). Menganalisis model komunikasi dan sinkronisasi dalam sistem terdistribusi.;;Menjelaskan mekanisme komunikasi antarproses.;;;;;;;;;;;;
;;3). Menguraikan algoritma konsistensi, replikasi, dan toleransi kesalahan.;;;Menjelaskan model konsistensi data;;;;;;;;;;;
;;4). Menjelaskan aspek keamanan pada sistem terdistribusi.;;;;Menjelaskan isu keamanan (authentication, authorization, encryption).;;;;;;;;;;
;;5). Mengimplementasikan rancangan sederhana sistem terdistribusi dengan studi kasus (misalnya client-server, cloud, atau IoT).;;;;;Mendesain arsitektur client-server sederhana;;;;;;;;;
50;DESAIN DAN ANALISIS ALGORITMA;1). Mahasiswa dapat memahami dan menjelaskan tentang Desain dan Analisis Algoritma;Mahasiswa dapat memahami dan menjelaskan tentang Desain dan Analisis Algoritma;;;;;;;;;;;;;
;;2). Mahasiswa dapat memahami dan menjelaskan tentang Kompleksitas Algoritma;;Mahasiswa dapat memahami dan menjelaskan tentang Kompleksitas Algoritma;;;;;;;;;;;;
;;3). Mahasiswa dapat memahami dan menjelaskan tentang Notasi Asimptotik, Teorema Asimptotik, dan Kelas-Kelas Efisiensi Dasar;;;Mahasiswa dapat memahami dan menjelaskan tentang Notasi Asimptotik;Mahasiswa dapat memahami dan menjelaskan tentang Teorema Asimptotik;Mahasiswa dapat memahami dan menjelaskan tentang Kelas-Kelas Efisiensi Dasar;;;;;;;;;
;;4). Mahasiswa dapat memahami dan menjelaskan tentang Stratergi Algoritma Greedy, Brute Froce, Divide And Conquer;;;;;;Mahasiswa dapat memahami dan menjelaskan tentang Stratergi Algoritma Greedy;Mahasiswa dapat memahami dan menjelaskan tentang Stratergi Brute Froce, Divide;Mahasiswa dapat memahami dan menjelaskan tentang Stratergi Brute Froce, Divide;;;;;;
51;ETIKA PROFESI;1). Menjelaskan konsep dasar etika dan profesi;Menjelaskan pengertian etika, moral, dan hukum;;;;;;;;;;;;;
;;2). Menguraikan kode etik profesi dan tanggung jawab profesional;;Menjelaskan kode etik profesi pada bidang tertentu (misalnya TI, kedokteran, hukum;;;;;;;;;;;;
;;3). Menganalisis isu-isu etika dalam praktik profesi;;;Menganalisis konflik etika dalam bidang teknologi dan bisnis;;;;;;;;;;;
;;4). Mengintegrasikan nilai etika dalam pengambilan keputusan;;;;Menggunakan prinsip etika dalam analisis kasus nyata;;;;;;;;;;
;;5). Menunjukkan sikap profesional dan etis dalam konteks kerja;;;;;Menyusun laporan yang mencerminkan sikap profesional.;;;;;;;;;
52;GRAFIK KOMPUTER;1). Memahami konsep dasar grafika komputer dan transformasi geometrik. ;Menjelaskan konsep dasar grafika komputer.;;;;;;;;;;;;;
;;2). Mampu merancang algoritma rasterisasi dan pemodelan 3D. ;;Menerapkan transformasi geometrik;;;;;;;;;;;;
;;3).  Mengimplementasikan pustaka grafika seperti OpenGL atau WebGL.;;;Merancang algoritma rasterisasi;;;;;;;;;;;
;;4). Menganalisis hasil visualisasi data dengan teknik grafika komputer.;;;;Mengimplementasikan pemodelan 3D sederhana; Menerapkan pustaka grafika untuk visualisasi.;Mengevaluasi visualisasi yang dihasilkan.;;;;;;;;
53;METODOLOGI PENELITIAN DAN PUBLIKASI ILMIAH;1). Menjelaskan konsep dasar penelitian ilmiah;Menjelaskan pengertian penelitian ilmiah, tujuan dan fungsi penelitian dan menguraikan jenis-jenis penelitian ;;;;;;;;;;;;;
;;2). Mampu menyusun rancangan penelitian;;Menyusun rumusan masalah penelitian, landasan teori, tinjauan pustaka, merancang kerangka penenltian dan hipotesis ;;;;;;;;;;;;
;;3). Menguasai teknik pengumpulan dan analisis data;;;Menjelaskan teknik pengumpulan data ( observasi, wawancara, kusioner), teknik analisis data kualitatif dan kuantitatif, mengaplikasikan alat bantu analisis data (SPSS, Nvivo, Exel, dsbg);;;;;;;;;;;
;;4). Mampu menyusun laporan penelitian;;;;Menyususn sistematika laporan penenlitian sesuai kiadah akademik, menulis sitasi dan daftar pustaka sesuai gaya (APA, IEE,dll);;;;;;;;;;
;;5). Mampu menulis karya ilmiah untuk publikasi;;;;;Menjelaskan struktur artikel ilmiah, artikel hasil penenlitian, dan standar jurnal;;;;;;;;;
;;6). Memahami proses publikasi ilmiah;;;;;;Menjelaskan prosedur publikasi di jurnal, prosiding, dan seminar, menaganalisis etika publikasi, mengajukan artikel ke jurnal dan seminar;;;;;;;;
54;STANDARISASI KESELAMATAN KERJA;1). Menjelaskan konsep dasar K3 dan pentingnya standarisasi keselamatan kerja;Menjelaskan pengertian K3 dan Ruang lingkupnya, menguraikan manfaat penenrapan K3 d tempat kerja serta peran regulasi dalam keselamatan kerja;;;;;;;;;;;;;
;;2). Menguraikan standar nasional dan internasional K3;;Menjelaskan standar K3 nasional, internasional, serta membandingkan standar nasional dan internasional ;;;;;;;;;;;;
;;3). Menganalisis risiko kerja dan kecelakaan kerja;;;Mengidentifikasipotensi bahaya di tempat kerja, menganalisis penyebab kecelakaan kerja dan menggunakan metode analisis resiko;;;;;;;;;;;
;;4). Merancang prosedur dan sistem K3 di tempat kerja;;;;Merancang prosedur kerja aman, menentukan APD, merancang sistem tanggap darurat dan evakuasi;;;;;;;;;;
;;5). Mengevaluasi penerapan K3 melalui studi kasus;;;;;Menganalisis kasus kecelakaan kerja nyata,  mengevaluasi penerapan standar K3 dan memeberikan rekomendasi perbaikan sistem K3;;;;;;;;;
55;Technopreneurship (Kepemimpinan dan kewirausahaan);1). Mahasiswa mampu menjelaskan teori, gaya, dan fungsi kepemimpinan;Mahasiswa mampu mendefinisikan konsep dasar kepemimpinan dan menjelaskan relevansinya di berbagai bidang, mampu menguraikan teori kepemimpinan klasik dan modern, dan mampu membedakan berbagai gaya kepemimpinan serta konteks penggunaannya;;;;;;;;;;;;;
;;2). Mahasiswa mampu menganalisis karakteristik pemimpin efektif di berbagai konteks.;;Mahasiswa mampu mengidentifikasi soft skills yang harus dimiliki pemimpin (komunikasi, integritas, empati), mampu mengevaluasi peran pemimpin dalam organisasi melalui studi kasus nyata dan mampu menunjukkan sikap kepemimpinan dalam simulasi/role play.;;;;;;;;;;;;
;;3). Mahasiswa mampu mengidentifikasi peluang usaha melalui analisis lingkungan.;;;Mahasiswa mampu menjelaskan konsep dasar kewirausahaan dan mindset wirausaha, Mahasiswa mampu menggunakan analisis SWOT dan tren pasar untuk menemukan peluang bisnis dan mampu merumuskan ide bisnis awal berdasarkan hasil analisis.;;;;;;;;;;;
;;4). Mahasiswa mampu menyusun model bisnis sederhana dan rencana usaha.;;;;Mahasiswa mampu menyusun Business Model Canvas (BMC) untuk ide bisnisnya, Mahasiswa mampu menyusun rencana usaha meliputi aspek pemasaran, operasional, SDM, dan keuangan, mengidentifikasi risiko usaha dan strategi mitigasinya dan mampu mempresentasikan rencana bisnis secara meyakinkan (pitching).;;;;;;;;;;
;;5). Mahasiswa mampu menunjukkan sikap kepemimpinan, kerja tim, komunikasi, dan inovasi.;;;;;Mahasiswa mampu bekerja sama dalam kelompok untuk menyelesaikan proyek bisnis, berkomunikasi efektif dalam diskusi, presentasi, dan negosiasi, mampu menerapkan prinsip etika bisnis dan tanggung jawab sosial dalam rencana usahanya, serta mampu berinovasi melalui penerapan design thinking untuk menciptakan produk/jasa baru.;;;;;;;;;
56;TEORI BAHASA DAN OTOMATA;1). Memahami dasar teori bahasa formal, tata bahasa, dan automata.;Menjelaskan konsep bahasa formal, tata bahasa, dan hirarki Chomsky.  ;;;;;;;;;;;;;
;;2). Menjelaskan konsep dan implementasi Finite Automata (DFA dan NFA);;Memahami Finite Automata Deterministik (DFA) dan Non-Deterministik (NFA).  ;;;;;;;;;;;;
;;3). Merancang dan mengimplementasikan mesin Turing sederhana.;;;Menggunakan konsep regular expression dan automata dalam pemecahan masalah.  ;;;;;;;;;;;
;;4). Menganalisis dan memecahkan masalah komputasi menggunakan teori bahasa dan otomata.;;;; Merancang dan mengimplementasikan mesin Turing sederhana;Mengidentifikasi masalah yang dapat diselesaikan menggunakan automata dan mesin Turing.;;;;;;;;;
57;SISTEM PAKAR;"Mahasiswa mampu menjelaskan konsep dasar, struktur, dan komponen sistem pakar; menganalisis metode representasi pengetahuan dan mekanisme inferensi; merancang serta mengimplementasikan sistem pakar sederhana dengan memanfaatkan perangkat modern; serta menunjukkan sikap profesional melalui komunikasi ilmiah dan kerja sama tim.";Mahasiswa mampu menjelaskan secara komprehensif konsep dasar sistem pakar, meliputi definisi, sejarah, karakteristik, serta komponen utamanya meliputi knowledge base, inference engine, user interface. Selanjutnya mendeskripsikan peran sistem pakar pada berbagai bidang aplikasi seperti medis, industri, finansial, dan pendidikan.;Mahasiswa mampu menganalisis dan membandingkan berbagai metode representasi pengetahuan, termasuk representasi berbasis aturan, semantic network, frame, serta ontologi dasar, serta mengevaluasi teknik akuisisi pengetahuan dari pakar maupun literatur dalam membangun knowledge base.;Mahasiswa mampu menganalisis mekanisme inferensi dalam sistem pakar dengan menguraikan konsep dasar mesin inferensi, membedakan forward chaining dan backward chaining, mengkaji strategi resolusi konflik, serta mengevaluasi pendekatan penanganan ketidakpastian melalui certainty factor, fuzzy logic, dan hybrid reasoning.;Mahasiswa mampu merancang rule base dan mesin inferensi dalam arsitektur sistem pakar dengan mengintegrasikan komponen knowledge base, rule base, dan inference engine.;Mahasiswa mampu membangun sistem pakar berbasis aturan menggunakan perangkat lunak modern (Python/Java), melakukan verifikasi dan validasi untuk menilai kinerja sistem, serta menyusun laporan proyek akhir secara sistematis dan menyajikannya dalam bentuk presentasi ilmiah.;;;;;;;;;
58;APPLIED MACHINE LEARNING;1). Mampu menerapkan prinsip ilmu komputer, statistika, dan matematika untuk membangun solusi berbasis data;Menjelaskan konsep dasar machine learning dan ruang lingkup penerapannya. Beserta Menerapkan model pada studi kasus nyata (domain-specific ML);;;;;;;;;;;;;
;;2). Mampu merancang dan mengimplementasikan model machine learning sesuai kebutuhan dan data yang tersedia;;Melakukan preprocessing data dan feature engineering sesuai kebutuhan model dan  Menunjukkan sikap profesional, kolaboratif, dan etis dalam proyek machine learning;;;;;;;;;;;;
;;3). Mampu mengevaluasi kinerja model dan menerapkan pendekatan interpretabilitas serta etika AI.;;;Mengimplementasikan berbagai algoritma supervised dan unsupervised learning dan Melakukan evaluasi performa model menggunakan metrik yang sesuai.;;;;;;;;;;;
;;4). Mampu bekerja sama dan berkomunikasi efektif dalam proyek berbasis machine learning.;;;;Mengoptimasi model menggunakan hyperparameter tuning dan cross-validation. Beserta Menerapkan model pada studi kasus nyata (domain-specific ML).;;;;;;;;;;
59;PRAKTIKUM APPLIED MACHINE LEARNING;1). Memahami tahapan dan komponen dasar dalam penerapan machine learning;Menjelaskan alur kerja ML (data preprocessing, training, evaluation). Dan Mengenali jenis-jenis algoritma ML.;;;;;;;;;;;;;
;;2). Menerapkan algoritma supervised learning untuk klasifikasi dan regresi;;Mengimplementasikan regresi linear dan logistik. Dan Menggunakan algoritma decision tree, random forest, dan SVM.;;;;;;;;;;;;
;;3). Menerapkan algoritma unsupervised learning untuk pengelompokan dan reduksi dimensi;;;Mengimplementasikan k-means, DBSCAN, dan PCA.;;;;;;;;;;;
;;4). Melakukan feature engineering dan model evaluation;;;;Melakukan normalisasi, encoding, dan feature selection. Dan Mengevaluasi model dengan metrik akurasi, precision, recall, dan F1-score.;;;;;;;;;;
;;5). Menerapkan deep learning sederhana menggunakan framework populer;;;;;Membangun model neural network dasar untuk klasifikasi gambar atau teks;;;;;;;;;
;;6). Menunjukkan sikap profesional dalam eksperimen dan kolaborasi praktikum;;;;;;Menjaga kejujuran akademik, bekerja sama dalam tim, dan melaporkan hasil dengan etika ilmiah.;;;;;;;;
60;DATA ENGINEERING AND BIG DATA SYSTEMS;1). Menjelaskan konsep dasar data engineering, big data, dan arsitektur sistem data modern. ;Mampu menjelaskan arsitektur big data, pipeline data, dan peran data engineer;;;;;;;;;;;;;
;;2). Merancang pipeline ETL untuk mengintegrasikan berbagai sumber data.;;Membuat rancangan alur data dari sumber ke penyimpanan terpusat;;;;;;;;;;;;
;;3). Mengimplementasikan pemrosesan batch dan stream menggunakan Apache Spark dan Kafka.;;;Menulis job Spark untuk pemrosesan data dalam jumlah besar;;;;;;;;;;;
;;4). Mengelola penyimpanan data besar menggunakan HDFS, NoSQL, atau data lake.;;;;membangun sistem data streaming dengan kafka;;;;;;;;;;
;;5). Menggunakan workflow orchestration tools seperti Apache Airflow atau Prefect untuk otomatisasi pipeline data;;;;;Menggunakan HDFS, MongoDB, atau data lake;;;;;;;;;
;;6). Mengevaluasi performa sistem data berdasarkan throughput, latency, dan scalability;;;;;;membuat workflow otomatis untuk ETL ppeline;;;;;;;;
;;7). Menunjukkan kemampuan kolaborasi, etika, dan tanggung jawab dalam proyek data engineering;;;;;;; melakukan benchmarking thoughtput dan latency;aktif berkontribusi dalam proyek tim dengan  dokumentasi profesional;;;;;;
61;PRAKTIKUM DATA ENGINEERING AND BIG DATA SYSTEMS;1). Memahami konsep dasar data engineering dan sistem big data;Menjelaskan peran data engineer dalam ekosistem data dan Memahami arsitektur sistem big data dan komponennya.;;;;;;;;;;;;;
;;2). Mengimplementasikan proses ekstraksi, transformasi, dan loading (ETL) data;;Menggunakan Python atau SQL untuk proses ETL Dan Mengintegrasikan data dari berbagai sumber.;;;;;;;;;;;;
;;3). Mengelola penyimpanan data besar menggunakan sistem terdistribusi;;;Menggunakan HDFS untuk manajemen file besar dan Menjalankan query menggunakan Hive atau Spark SQL.;;;;;;;;;;;
;;4). Menerapkan sistem pemrosesan data real-time;;;;Menggunakan Kafka untuk streaming data dan Menjalankan pemrosesan data real-time menggunakan Spark Streaming.;;;;;;;;;;
;;5). Merancang dan membangun pipeline data end-to-end;;;;;Mendesain arsitektur pipeline data lengkap. Dan Menguji dan mengevaluasi performa pipeline.;;;;;;;;;
;;6). Menunjukkan etika profesional dan kolaborasi tim dalam eksperimen data;;;;;;Bekerja dalam kelompok dengan tanggung jawab Dan Menjaga etika dan keamanan data.;;;;;;;;
62;MATHEMATICS FOR AI;1). Menjelaskan konsep dasar matematika yang relevan untuk AI: aljabar linear, kalkulus, dan probabilitas.;Memahami konsep dasar matematika untuk AI untuk Mampu menjelaskan fungsi, turunan, integral, dan ruang vektor;;;;;;;;;;;;;
;;2). Menggunakan aljabar linear untuk representasi dan manipulasi data (vektor, matriks, transformasi).;;Mengaplikasikan aljabar linear sehingga Mampu menggunakan operasi matriks dan eigen decomposition;;;;;;;;;;;;
;;3). Menerapkan kalkulus diferensial dan integral untuk memahami optimisasi model AI.;;; Mengaplikasikan kalkulus dalam AI untuk Menghitung gradien dan optimisasi fungsi biaya;;;;;;;;;;;
;;4). Menggunakan konsep probabilitas dan statistik dalam inferensi dan pembelajaran mesin.;;;;Mengaplikasikan probabilitas & statistik dengn Menggunakan distribusi probabilitas dan estimasi parameter;;;;;;;;;;
;;5). Mengimplementasikan algoritma matematis dasar AI menggunakan bahasa pemrograman Python.;;;;;Mengimplementasikan algoritma matematis dengan Menerapkan konsep gradien, regresi, dan PCA menggunakan Python;;;;;;;;;
;;6). Mengevaluasi hubungan antara teori matematis dan performa model AI.;;;;;;Mengevaluasi hubungan teori dan aplikasi dengan Menganalisis hasil eksperimen berdasarkan teori matematis;;;;;;;;
;;7). Menunjukkan kemampuan berpikir logis, kolaboratif, dan etis dalam analisis masalah berbasis matematika;;;;;;;"Menunjukkan kolaborasi dan etika denegan Bekerja dalam tim, jujur dalam eksperimen, dan menghargai pendapat
 Observasi";;;;;;;
63;CLOUD-NATIVE APPLICATION DEVELOPMENT;1). menjelaskan konsep cloud-native dan perbedaannya dengan apliasi tradisional;Mampu menjelaskan karakteristik aplikasi cloud-native dan cloud architecture;;;;;;;;;;;;;
;;2). merancang arsitekstur microservices untuk aplikasi  cloud-native;;membuat rancangan diagram sistem berbais microserviced indovidu;;;;;;;;;;;;
;;3). Mengembangkan aplikasi berbasis container (Docker) dan mengelola orchestration dengan Kubernetes;;;Membuat dan menjalankan container menggunakan Docker Praktikum;;;;;;;;;;;
;;4). Mengimplementasikan CI/CD pipeline untuk proses build, test, dan deployment otomatis.;;;;Mengonfigurasi cluster Kubernetes untuk deployment dan scaling aplikasi;;;;;;;;;;
;;5). Menerapkan praktik observability (logging, tracing, monitoring) dalam aplikasi cloud-native. ;;;;;Membuat pipeline CI/CD menggunakan Jenkins atau GitHub Actions ;;;;;;;;;
;;6). Mengintegrasikan API gateway, load balancing, dan serverless function ke dalam sistem cloud-native;;;;;;mengonfigurasi logging dan monitoring dengan  Prometheus dan Grafana;;;;;;;;
;;7). Menunjukkan kolaborasi, etika profesional, dan prinsip DevOps dalam proyek cloud-native. ;;;;;;;Menghubungkan API Gateway dan Lambda FunctionProyek akhir;Aktif dalam proyek tim dengan dokumentasi DevOps Observasi proyek;;;;;;
64;PRAKTIKUM CLOUD-NATIVE APPLICATION DEVELOPMENT;1). Memahami konsep dan komponen utama cloud-native application;Menjelaskan arsitektur cloud-native dan perbedaannya dengan aplikasi tradisional. Dan Mengidentifikasi layanan cloud utama (Compute, Storage, Network).;;;;;;;;;;;;;
;;2). Mengimplementasikan containerization menggunakan Docker;;Membuat Dockerfile dan membangun image aplikasi Dan Menjalankan dan mengelola container secara lokal.;;;;;;;;;;;;
;;3). Menerapkan arsitektur microservices dan komunikasi antar layanan;;;Mendesain aplikasi berbasis microservices. Dan Menggunakan REST API/gRPC antar layanan.;;;;;;;;;;;
;;4). Mengelola container menggunakan Kubernetes;;;;Membuat konfigurasi deployment dan service di Kubernetes. Dan Melakukan scaling dan monitoring aplikasi;;;;;;;;;;
;;5). Mengimplementasikan CI/CD pipeline untuk deployment otomatis;;;;;Mengintegrasikan aplikasi dengan GitHub Actions atau Jenkins. Dan Mengimplementasikan pipeline otomatis ke cloud platform.;;;;;;;;;
;;6). Menunjukkan tanggung jawab dan kolaborasi dalam pengembangan proyek cloud-native;;;;;;Bekerja dalam tim untuk membangun aplikasi Dan Melakukan dokumentasi dan presentasi proyek secara profesional.;;;;;;;;
65;DEVOPS AND CI/CD PIPELINES;Mahasiswa mampu menjelaskan filosofi DevOps, menganalisis kebutuhan Continuous Integration (CI) / Continuous Deployment (CD) pipeline, merancang dan mengimplementasikan pipeline otomatis menggunakan salah satu tools modern, serta mengevaluasi performa pipeline melalui monitoring, logging, dan feedback loop.;Mahasiswa mampu menjelaskan Menjelaskan konsep dasar DevOps, filosofi CALMS, dan prinsip CI/CD.;Mahasiswa mampu menganalisis kebutuhan otomasi dan membandingkan tools CI/CD.;Mahasiswa mampu mendesain arsitektur pipeline ci/cd sesuai kebutuhan.;Mengimplementasikan pipeline end-to-end dengan tools modern.;Mengevaluasi performa pipeline, menerapkan monitoring, logging, dan feedback loop.;;;;;;;;;
66;PRAKTIKUM DEVOPS AND CI/CD PIPELINES;Memahami konsep dan filosofi DevOps serta siklus hidup perangkat lunak modern;Menjelaskan hubungan antara development dan operations Dan Mendeskripsikan siklus kerja DevOps dan pipeline CI/CD.;;;;;;;;;;;;;
;;Menggunakan sistem version control (Git/GitHub) untuk kolaborasi pengembangan;;Membuat dan mengelola repositori. Dan Melakukan branching, merging, dan pull request.;;;;;;;;;;;;
;;Membangun pipeline CI/CD sederhana untuk otomatisasi build dan test;;;Membuat file pipeline menggunakan GitHub Actions atau Jenkins Dan Mengintegrasikan tahap build dan unit testing otomatis.;;;;;;;;;;;
